run,trial_index,sound,sound_onset_dev,sound_onset_psy
1,0,STD,4543.49451625,23.02965004206635
1,1,STD,4544.027121375,23.563867084216326
1,2,STD,4544.562060417,24.096357834059745
1,3,STD,4545.093827334001,24.62969604204409
1,4,STD,4545.628857125001,25.164484000066295
1,5,STD,4546.162066917001,25.698692417005077
1,6,STD,4546.695745375,26.229770417092368
1,7,STD,4547.227274959,26.76320004207082
1,8,STD,4547.760825459,27.296450917143375
1,9,STD,4548.303143084,27.84662933414802
1,10,STD,4548.860878625001,28.3964535840787
1,11,STD,4549.394098209001,28.929797125048935
1,12,STD,4549.927495209,29.46306929201819
1,13,STD,4550.463153834,29.998450459213927
1,14,STD,4550.995928917,30.531012166989967
1,15,STD,4551.527589667,31.06323237507604
1,16,STD,4552.061110375001,31.59755258401856
1,17,STD,4552.593894000001,32.13110466720536
1,18,STD,4553.127658875001,32.663311042124406
1,19,STD,4553.660914834,33.19645687518641
1,20,STD,4554.196435917001,33.73137520905584
1,21,STD,4554.730159584,34.26693108398467
1,22,STD,4555.2609868340005,34.79871370899491
1,23,STD,4555.844300542,35.38006216706708
